ID Race,Race,ID State,State,ID Year,Year,Household Income by Race,Household Income by Race Moe,Slug State
6,Other,04000US31,Nebraska,2018,2018,45005,7268,nebraska
6,Other,04000US32,Nevada,2018,2018,45347,2041,nevada
6,Other,04000US33,New Hampshire,2018,2018,71555,50119,new-hampshire
6,Other,04000US34,New Jersey,2018,2018,50960,2025,new-jersey
6,Other,04000US35,New Mexico,2018,2018,32683,3042,new-mexico
6,Other,04000US36,New York,2018,2018,44047,1975,new-york
6,Other,04000US37,North Carolina,2018,2018,39707,2111,north-carolina
6,Other,04000US38,North Dakota,2018,2018,45923,20371,north-dakota
6,Other,04000US39,Ohio,2018,2018,42527,4233,ohio
6,Other,04000US40,Oklahoma,2018,2018,40786,2821,oklahoma
6,Other,04000US41,Oregon,2018,2018,50872,3330,oregon
6,Other,04000US42,Pennsylvania,2018,2018,35146,3258,pennsylvania
6,Other,04000US44,Rhode Island,2018,2018,33248,5610,rhode-island
6,Other,04000US45,South Carolina,2018,2018,42243,4531,south-carolina
6,Other,04000US46,South Dakota,2018,2018,44030,14859,south-dakota
6,Other,04000US47,Tennessee,2018,2018,37445,5597,tennessee
6,Other,04000US48,Texas,2018,2018,44322,1395,texas
6,Other,04000US49,Utah,2018,2018,52860,4396,utah
6,Other,04000US50,Vermont,2018,2018,44375,31054,vermont
6,Other,04000US51,Virginia,2018,2018,57099,3988,virginia
6,Other,04000US53,Washington,2018,2018,52043,1862,washington
6,Other,04000US54,West Virginia,2018,2018,45325,29238,west-virginia
6,Other,04000US55,Wisconsin,2018,2018,42942,3544,wisconsin
6,Other,04000US56,Wyoming,2018,2018,36403,1322,wyoming
6,Other,04000US72,Puerto Rico,2018,2018,16716,769,puerto-rico
7,Two Or More,04000US01,Alabama,2018,2018,35884,6485,alabama
7,Two Or More,04000US02,Alaska,2018,2018,66114,4284,alaska
7,Two Or More,04000US04,Arizona,2018,2018,53408,3872,arizona
7,Two Or More,04000US05,Arkansas,2018,2018,36781,5770,arkansas
7,Two Or More,04000US06,California,2018,2018,78235,2586,california
7,Two Or More,04000US08,Colorado,2018,2018,66396,4014,colorado
7,Two Or More,04000US09,Connecticut,2018,2018,58651,7692,connecticut
7,Two Or More,04000US10,Delaware,2018,2018,43866,16459,delaware
7,Two Or More,04000US11,District of Columbia,2018,2018,95367,16132,district-of-columbia
7,Two Or More,04000US12,Florida,2018,2018,53279,3951,florida
7,Two Or More,04000US13,Georgia,2018,2018,56856,5680,georgia
7,Two Or More,04000US15,Hawaii,2018,2018,77573,4456,hawaii
7,Two Or More,04000US16,Idaho,2018,2018,50800,4742,idaho
7,Two Or More,04000US17,Illinois,2018,2018,58029,4626,illinois
7,Two Or More,04000US18,Indiana,2018,2018,42853,4301,indiana
7,Two Or More,04000US19,Iowa,2018,2018,39482,6133,iowa
7,Two Or More,04000US20,Kansas,2018,2018,48254,7683,kansas
7,Two Or More,04000US21,Kentucky,2018,2018,42431,3159,kentucky
7,Two Or More,04000US22,Louisiana,2018,2018,47752,4852,louisiana
7,Two Or More,04000US23,Maine,2018,2018,47195,10142,maine
7,Two Or More,04000US24,Maryland,2018,2018,86408,7748,maryland
7,Two Or More,04000US25,Massachusetts,2018,2018,64466,4984,massachusetts
7,Two Or More,04000US26,Michigan,2018,2018,48666,3226,michigan
7,Two Or More,04000US27,Minnesota,2018,2018,55171,5707,minnesota
7,Two Or More,04000US28,Mississippi,2018,2018,47851,9985,mississippi
7,Two Or More,04000US29,Missouri,2018,2018,44003,3764,missouri
7,Two Or More,04000US30,Montana,2018,2018,46082,10883,montana
7,Two Or More,04000US31,Nebraska,2018,2018,46715,6353,nebraska
7,Two Or More,04000US32,Nevada,2018,2018,55334,3450,nevada
7,Two Or More,04000US33,New Hampshire,2018,2018,55388,23431,new-hampshire
7,Two Or More,04000US34,New Jersey,2018,2018,77772,5131,new-jersey
7,Two Or More,04000US35,New Mexico,2018,2018,45710,8892,new-mexico
7,Two Or More,04000US36,New York,2018,2018,56736,3083,new-york
7,Two Or More,04000US37,North Carolina,2018,2018,45363,6243,north-carolina
7,Two Or More,04000US38,North Dakota,2018,2018,63854,7025,north-dakota
7,Two Or More,04000US39,Ohio,2018,2018,41855,3261,ohio
7,Two Or More,04000US40,Oklahoma,2018,2018,44582,2277,oklahoma
7,Two Or More,04000US41,Oregon,2018,2018,56758,7061,oregon
7,Two Or More,04000US42,Pennsylvania,2018,2018,49053,3459,pennsylvania
7,Two Or More,04000US44,Rhode Island,2018,2018,50507,12513,rhode-island
7,Two Or More,04000US45,South Carolina,2018,2018,53572,7110,south-carolina
7,Two Or More,04000US46,South Dakota,2018,2018,39596,9566,south-dakota
7,Two Or More,04000US47,Tennessee,2018,2018,47240,5500,tennessee
7,Two Or More,04000US48,Texas,2018,2018,63870,2779,texas
7,Two Or More,04000US49,Utah,2018,2018,69010,9595,utah
7,Two Or More,04000US50,Vermont,2018,2018,39490,13194,vermont
7,Two Or More,04000US51,Virginia,2018,2018,70151,5500,virginia
7,Two Or More,04000US53,Washington,2018,2018,71232,2519,washington
7,Two Or More,04000US54,West Virginia,2018,2018,45948,7665,west-virginia
7,Two Or More,04000US55,Wisconsin,2018,2018,50692,2540,wisconsin
7,Two Or More,04000US56,Wyoming,2018,2018,46205,26784,wyoming
7,Two Or More,04000US72,Puerto Rico,2018,2018,20232,2461,puerto-rico
8,White Non-Hispanic,04000US01,Alabama,2018,2018,58257,1125,alabama
8,White Non-Hispanic,04000US02,Alaska,2018,2018,83245,3339,alaska
8,White Non-Hispanic,04000US04,Arizona,2018,2018,64876,758,arizona
8,White Non-Hispanic,04000US05,Arkansas,2018,2018,50831,778,arkansas
8,White Non-Hispanic,04000US06,California,2018,2018,87078,560,california
8,White Non-Hispanic,04000US08,Colorado,2018,2018,77732,1079,colorado
8,White Non-Hispanic,04000US09,Connecticut,2018,2018,87666,1155,connecticut
8,White Non-Hispanic,04000US10,Delaware,2018,2018,70623,2211,delaware
8,White Non-Hispanic,04000US11,District of Columbia,2018,2018,142544,6168,district-of-columbia
8,White Non-Hispanic,04000US12,Florida,2018,2018,61446,408,florida
8,White Non-Hispanic,04000US13,Georgia,2018,2018,68055,1037,georgia
8,White Non-Hispanic,04000US15,Hawaii,2018,2018,80940,3648,hawaii
8,White Non-Hispanic,04000US16,Idaho,2018,2018,57506,1325,idaho
8,White Non-Hispanic,04000US17,Illinois,2018,2018,72280,506,illinois
8,White Non-Hispanic,04000US18,Indiana,2018,2018,59587,764,indiana
8,White Non-Hispanic,04000US19,Iowa,2018,2018,61540,723,iowa
8,White Non-Hispanic,04000US20,Kansas,2018,2018,61447,652,kansas
